obs_wl_vac(A)	unc_obs_wl	ritz_wl_vac(A)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
"1506.536"	"0.005"	"1506.53879"	"0.00007"	"1300bl(Fe II)*"	""		"0.0000"	"66377.315"	"3d6.(5D).4s"	"a 6D"	"9/2"	"3d6.(3G).4p"	"x 4F*"	"7/2"		""	"L18349c144"	
"1514.859"	"0.002"	"1514.85830"	"0.00007"	"1200"	""		"0.0000"	"66012.775"	"3d6.(5D).4s"	"a 6D"	"9/2"	"3d6.(3G).4p"	"x 4F*"	"9/2"		""	"L18349c140"	
"1588.687"	"0.002"	"1588.68740"	"0.00006"	"7000bl(Fe III)"	"5.e+05"	E	"0.0000"	"62945.045"	"3d6.(5D).4s"	"a 6D"	"9/2"	"3d6.(3F2).4p"	"x 4D*"	"7/2"		"T6892c83"	"L18349c140"	
"1608.45078"	"0.00008"	"1608.45083"	"0.00008"	"700000"	"1.91e+08"	A	"0.0000"	"62171.624"	"3d6.(5D).4s"	"a 6D"	"9/2"	"3d5.(6S).4s.4p.(3P*)"	"y 6P*"	"7/2"		"T7958,T6707,T7503"	"L18349c139"	
"1611.197"	"0.005"	"1611.20034"	"0.00008"	"2700"	"4.4e+06"	C	"0.0000"	"62065.528"	"3d6.(5D).4s"	"a 6D"	"9/2"	"3d6.(3F2).4p"	"y 4F*"	"7/2"		"T7461"	"L18349c144"	
"1620.061"	"0.002"	"1620.06105"	"0.00008"	"5000"	""		"0.0000"	"61726.069"	"3d6.(5D).4s"	"a 6D"	"9/2"	"3d6.(3P2).4p"	"y 4D*"	"7/2"		""	"L18349c140"	
"1640.495"	"0.005"	"1640.50657"	"0.00008"	"3000"	""		"0.0000"	"60956.781"	"3d6.(5D).4s"	"a 6D"	"9/2"	"3d6.(3H).4p"	"z 4G*"	"7/2"		""	"L18349c143"	
"1887.9973"	"0.0006"	"1887.99746"	"0.00011"	"4000"	""		"0.0000"	"52966.173"	"3d6.(5D).4s"	"a 6D"	"9/2"	"3d5.(6S).4s.4p.(3P*)"	"z 8P*"	"9/2"		""	"L18349c139"	
"1901.76060"	"0.00009"	"1901.76075"	"0.00009"	"40000"	""		"0.0000"	"52582.850"	"3d6.(5D).4s"	"a 6D"	"9/2"	"3d5.(6S).4s.4p.(3P*)"	"z 8P*"	"7/2"		""	"L18349c139"	
"2234.447"	"0.005"	"2234.44624"	"0.00009"	"2400"	""		"0.0000"	"44753.8179"	"3d6.(5D).4s"	"a 6D"	"9/2"	"3d6.(5D).4p"	"z 4F*"	"7/2"		""	"L18349c142"	
"2249.87517"	"0.00014"	"2249.87544"	"0.00009"	"8000"	"3.00e+06"	B	"0.0000"	"44446.9051"	"3d6.(5D).4s"	"a 6D"	"9/2"	"3d6.(5D).4p"	"z 4D*"	"7/2"		"T6610"	"L18349c139"	
"2260.77906"	"0.00011"	"2260.77907"	"0.00010"	"14000"	"3.18e+06"	B	"0.0000"	"44232.5398"	"3d6.(5D).4s"	"a 6D"	"9/2"	"3d6.(5D).4p"	"z 4F*"	"9/2"		"T6610"	"L18349c139"	
"2344.21273"	"0.00012"	"2344.21274"	"0.00010"	"1000000"	"1.73e+08"	A+	"0.0000"	"42658.2444"	"3d6.(5D).4s"	"a 6D"	"9/2"	"3d6.(5D).4p"	"z 6P*"	"7/2"		"T6610"	"L18349c139"	
"2374.46008"	"0.00012"	"2374.46004"	"0.00010"	"400000"	"4.25e+07"	B+	"0.0000"	"42114.8380"	"3d6.(5D).4s"	"a 6D"	"9/2"	"3d6.(5D).4p"	"z 6F*"	"9/2"		"T7958,T6610,T7589"	"L18349c139"	
"2382.76390"	"0.00013"	"2382.76386"	"0.00010"	"1800000"	"3.13e+08"	B+	"0.0000"	"41968.0698"	"3d6.(5D).4s"	"a 6D"	"9/2"	"3d6.(5D).4p"	"z 6F*"	"11/2"		"T7958,T6610,T7589"	"L18349c139"	
"2586.64935"	"0.00013"	"2586.64928"	"0.00011"	"500000"	"8.94e+07"	B+	"0.0000"	"38660.0537"	"3d6.(5D).4s"	"a 6D"	"9/2"	"3d6.(5D).4p"	"z 6D*"	"7/2"		"T7958,T6610,T7589"	"L18349c139"	
"2600.17210"	"0.00014"	"2600.17206"	"0.00011"	"1000000"	"2.35e+08"	B+	"0.0000"	"38458.9934"	"3d6.(5D).4s"	"a 6D"	"9/2"	"3d6.(5D).4p"	"z 6D*"	"9/2"		"T7958,T6610,T7589"	"L18349c139"	
