target,z_abs_reference,transition,rest_wavelength_AA,nominal_observed_wavelength_AA,half_window_km_s,n_pixels_in_window,n_valid_pixels,masked_fraction_within_array,median_continuum_to_error_per_native_pixel,median_normalized_flux,nearest_metadata_bin_wavelength_AA,nearest_metadata_nominal_resolving_power,nearest_metadata_arc_resolving_power,wavelength_array_contains_full_window,interpretation
J051707-441055,1.1508,FeII_1608.4509,1608.4509,3459.4561957200003,200,308,308,0.0,127.88919691428327,0.9900489668503317,3456.101139656051,62523.361904761914,67129.36015085084,True,"Geometric coverage only; identification, blends, tellurics and usable profile need independent screening"
J051707-441055,1.1508,FeII_2344.2128,2344.2128,5041.93289024,200,307,307,0.0,229.67428455449547,0.9756424975690892,5035.139793958329,53695.92857142857,70723.32093838972,True,"Geometric coverage only; identification, blends, tellurics and usable profile need independent screening"
J051707-441055,1.1508,FeII_2374.4601,2374.4601,5106.98878308,200,308,308,0.0,229.42170702439773,0.9901599045685904,5102.658356975766,53695.92857142857,70723.32093838972,True,"Geometric coverage only; identification, blends, tellurics and usable profile need independent screening"
J051707-441055,1.1508,FeII_2382.7642,2382.7642,5124.849241360001,200,308,308,0.0,238.93032359821132,0.951297801399239,5119.678993155266,53695.92857142857,70723.32093838972,True,"Geometric coverage only; identification, blends, tellurics and usable profile need independent screening"
J051707-441055,1.1508,FeII_2586.6493,2586.6493,5563.3653144400005,200,308,308,0.0,248.37856438910308,0.9847406673327164,5564.148657764233,53695.92857142857,70723.32093838972,True,"Geometric coverage only; identification, blends, tellurics and usable profile need independent screening"
J051707-441055,1.1508,FeII_2600.1725,2600.1725,5592.451013000001,200,308,308,0.0,236.2177186131343,0.9594124639643871,5601.330571518895,53695.92857142857,70723.32093838972,True,"Geometric coverage only; identification, blends, tellurics and usable profile need independent screening"
J034943-381030,3.025,FeII_1608.4509,1608.4509,6474.014872500001,150,231,231,0.0,86.10365453166912,0.9833397227351635,6463.67501227488,53695.92857142857,59257.30842179642,True,"Geometric coverage only; identification, blends, tellurics and usable profile need independent screening"
J034943-381030,3.025,FeII_2344.2128,2344.2128,9435.45652,150,230,230,0.0,42.55685709515169,0.8377979864151304,9448.238369442013,53695.92857142857,56019.34708906914,True,"Geometric coverage only; identification, blends, tellurics and usable profile need independent screening"
J034943-381030,3.025,FeII_2374.4601,2374.4601,9557.2019025,150,231,231,0.0,24.891994667635725,0.9068077927764703,9543.10189008016,56935.86,55456.108180050345,True,"Geometric coverage only; identification, blends, tellurics and usable profile need independent screening"
J034943-381030,3.025,FeII_2382.7642,2382.7642,9590.625905,150,231,231,0.0,21.421598946431317,0.7726326320729419,9574.934251553643,56935.86,55456.108180050345,True,"Geometric coverage only; identification, blends, tellurics and usable profile need independent screening"
J034943-381030,3.025,FeII_2586.6493,2586.6493,10411.263432500002,150,231,231,0.0,1.3118214999881852,0.6508783640419695,10406.191020021099,47817.7,44378.72103064701,True,"Geometric coverage only; identification, blends, tellurics and usable profile need independent screening"
J034943-381030,3.025,FeII_2600.1725,2600.1725,10465.694312500002,150,231,231,0.0,2.063353468057166,0.6475338736867825,10475.729438352368,56935.86,55899.021235736574,True,"Geometric coverage only; identification, blends, tellurics and usable profile need independent screening"
