target,z_abs_catalogue,line,rest_AA,f,observed_AA_catalogue,metadata_eligible,native_pixels,valid_pixels,valid_fraction,longest_invalid_run_pixels,actual_log_grid_spacing_km_s,native_CNR,sideband_median_flux,core_EW_rest_AA,core_EW_diagonal_error_AA,core_EW_diagonal_SNR,full_EW_rest_AA,full_EW_diagonal_error_AA,core_to_full_EW_ratio,core_low_flux_pixels,core_valid_pixels,core_low_flux_fraction,core_resolved_unsaturated_detection_pixels,core_AOD_integral_cm2,full_window_edge_EW_diagonal_SNR,broader_water_band_warning,strong_sky_feature_warning,reported_instrument_artifact_warning,nearest_nominal_R,nearest_arc_R,median_contributing_extracted_pixels,detected_primary_candidate,detected_strict_candidate,rejections
J000815-095854,1.768,1608,1608.450852,0.0577,4452.1919583359995,True,200,200,1.0,0,2.4999895761823456,28.29262309972703,0.9519586565895717,0.8607878880098894,0.0031394252259907165,274.18645963712936,1.250967311032415,0.006545203487972825,0.6880978267125836,55,80,0.6875,18,1759562327351561.0,21.10141203137253,False,False,False,49771.0,50268.10046599858,6.0,True,True,[]
J000815-095854,1.768,1611,1611.200369,0.00138,4459.802621391999,True,200,200,1.0,0,2.4999895761823456,23.444265383453676,0.9798429963530546,0.06919052024837682,0.0051400300315032985,13.461112060495248,0.10508879205423349,0.008212265467531012,0.6584005667575802,0,80,0.0,13,2322091373590238.5,1.133121749190459,False,False,False,49771.0,50268.10046599858,12.0,True,True,[]
J000815-095854,1.768,2249,2249.875472,0.00182,6227.655306496,True,200,200,1.0,0,2.4999895761823456,40.113726351579764,0.981621452739655,0.18386844906205688,0.0040599493537805155,45.28836028233789,0.2603606258663932,0.006681560493958929,0.7062068177559648,0,80,0.0,61,2469400859986738.0,3.627248123299417,False,False,False,51976.14111111111,53676.45089315838,6.0,True,True,[]
J000815-095854,1.768,2260,2260.779108,0.00244,6257.836570944,True,200,200,1.0,0,2.4999895761823456,39.55124850036828,0.9839215345479019,0.24664107791681106,0.004455499540506614,55.35654883913794,0.34844624563624127,0.006902091739402604,0.7078310672180144,0,80,0.0,63,2533685206679810.5,4.195563776777697,False,False,False,51976.14111111111,53676.45089315838,12.0,True,True,[]
J000815-095854,1.768,2344,2344.212747,0.114,6488.780883695999,True,200,200,1.0,0,2.4999895761823456,60.893218723671296,0.9396640565452894,1.3586349708739673,0.002210821141459466,614.5386188848679,2.159788240440169,0.005140303412317116,0.6290593426867974,63,80,0.7875,11,834866225402661.9,57.02609155724277,True,False,False,51976.14111111111,53676.45089315838,6.0,True,False,[]
J000815-095854,1.768,2374,2374.460064,0.0313,6572.5054571519995,True,200,200,1.0,0,2.4999895761823456,49.390158617859726,0.9661677667148781,1.2135992284106116,0.0024062608596888014,504.3506498990159,1.7190193780995102,0.005285933045629297,0.7059834483962164,44,80,0.55,29,2191645468864477.8,34.08123402041293,True,False,False,51976.14111111111,53676.45089315838,6.0,True,False,[]
J000815-095854,1.768,2382,2382.763995,0.32,6595.490738159999,True,200,200,1.0,0,2.4999895761823456,88.68721981364003,0.9437993672526723,1.4207794169648102,0.002150183594315546,660.7712107565762,2.4045578342106046,0.004866185097557852,0.5908693052630359,70,80,0.875,4,307038036072726.4,85.13796678191224,True,False,False,51976.14111111111,53676.45089315838,12.0,True,False,[]
J000815-095854,1.768,2586,2586.649312,0.0691,7159.845295616,False,200,200,1.0,0,2.4999895761823456,59.103325812732926,0.9582555854021102,1.4746178301191335,0.0023768232662085796,620.415430580747,2.2410421494796426,0.005462859423087637,0.6580053973824328,63,80,0.7875,10,1237656414045382.2,53.78079859140745,True,False,False,51976.14111111111,53676.45089315838,6.0,False,False,['conservative_telluric_band']
J000815-095854,1.768,2600,2600.172114,0.239,7197.276411551999,False,200,200,1.0,0,2.4999895761823456,104.04062190058974,0.8468302055211785,1.5341083002384053,0.0019661402484755838,780.2639213697254,2.6340651365232954,0.004706580159945038,0.582410920279396,67,80,0.8375,7,397912548759392.9,92.27195588306822,True,False,False,51976.14111111111,53676.45089315838,6.0,False,False,['conservative_telluric_band']
J004131-493611,2.248,1608,1608.450852,0.0577,5224.248367296,True,200,199,0.995,1,2.4999895761823456,40.82453180561736,0.999211530784299,0.1067059112964136,0.002791701000418778,38.222542915737336,0.10630205162972645,0.004581742999473149,1.0037991709519765,2,80,0.025,13,152298176529613.7,1.106447750178972,False,False,False,56935.86,59637.05210273955,1.0,True,True,[]
