target,reference_FeII,target_FeII,region,error_array,form,n_pixels,shift_kms,formal_sigma_shift_kms,strength,continuum_intercept,continuum_slope_per100kms,chi2_diagonal,nominal_dof,chi2_per_nominal_dof,gaussian_deviance_including_log_variance,optimizer_success,parameter_at_boundary,positive_local_hessian,min_distance_to_template_interpolation_knot_kms,smooth_for_local_hessian,formal_error_status,start_solution_deviance_range,additional_global_search,global_seed_deviance_range,interpretation
J051707-441055,2374,2586,whole,statistical,power,103,0.01666928517700679,0.011435721266166146,2.3199254319934326,1.0106073048645063,-0.01288859216883117,601.8987179616054,99,6.079785029915206,-448.32680595133326,True,False,True,0.4127184895059628,True,conditional_curvature_only,3.8915004552109167e-10,True,8.187157618522178e-10,DESCRIPTIVE_REGISTRATION_ONLY; not a physical frequency shift; independent-pixel approximation
J051707-441055,2374,2586,whole,statistical,affine,103,0.3049677175830195,0.021237824296720578,1.5698431386448013,0.9425476608208067,0.0032342901394885213,4024.139897703252,99,40.6478777545783,2992.8620977449673,True,False,True,0.1244200570999503,True,conditional_curvature_only,2.7284841053187847e-12,True,3.3523974707350135e-09,DESCRIPTIVE_REGISTRATION_ONLY; not a physical frequency shift; independent-pixel approximation
J051707-441055,2374,2586,whole,fluctuation,power,103,0.01666006499511287,0.012268586562929432,2.319301874247049,1.0105130968021112,-0.012944688771379364,521.0281936403884,99,5.26291104687261,-513.9010928601685,True,False,True,0.4127277096878572,True,conditional_curvature_only,3.108198143308982e-10,True,1.1260681276326068e-09,DESCRIPTIVE_REGISTRATION_ONLY; not a physical frequency shift; independent-pixel approximation
J051707-441055,2374,2586,whole,fluctuation,affine,103,0.30902285087439624,0.022971060923860673,1.5696789656553567,0.9425066120125257,0.0032942454125021135,3460.5223585299523,99,34.954771298282346,2445.271681876724,True,False,True,0.12036492380857311,True,conditional_curvature_only,7.73070496506989e-12,True,8.9498826127965e-09,DESCRIPTIVE_REGISTRATION_ONLY; not a physical frequency shift; independent-pixel approximation
J051707-441055,2374,2586,central,statistical,power,43,0.022353486381488607,0.012970740045727451,2.2419818448256557,0.9985851146310688,-0.05126312175669497,319.97128831323164,39,8.204392008031581,-133.46769340838685,True,False,True,0.4070473225445266,True,conditional_curvature_only,5.115907697472721e-13,True,2.4635937734274194e-10,DESCRIPTIVE_REGISTRATION_ONLY; not a physical frequency shift; independent-pixel approximation
J051707-441055,2374,2586,central,statistical,affine,43,-0.010887735246986151,,1.3912642458625357,0.9000000000003037,-0.08971334758938121,876.1087751062281,39,22.464327566826363,419.80166538800796,True,True,True,0.4402885441730007,True,WITHHELD_BOUNDARY_KNOT_OR_HESSIAN,869.8278890414476,True,6.049674539099215e-09,DESCRIPTIVE_REGISTRATION_ONLY; not a physical frequency shift; independent-pixel approximation
J051707-441055,2374,2586,central,fluctuation,power,43,0.02254039782127195,0.01391517420315483,2.2417098939484568,0.9985224360740429,-0.051369125732569514,277.3782207839594,39,7.112262071383575,-169.86281818819492,True,False,True,0.40686041110474314,True,conditional_curvature_only,5.684341886080801e-13,True,5.750564469053643e-10,DESCRIPTIVE_REGISTRATION_ONLY; not a physical frequency shift; independent-pixel approximation
J051707-441055,2374,2586,central,fluctuation,affine,43,-0.010624392606976524,,1.3913134766059778,0.9000000000006586,-0.08964285389369349,758.6112198869744,39,19.45156974069165,308.4808089194634,True,True,True,0.4400252015329915,True,WITHHELD_BOUNDARY_KNOT_OR_HESSIAN,759.4770007406566,True,3.5925040720030665e-11,DESCRIPTIVE_REGISTRATION_ONLY; not a physical frequency shift; independent-pixel approximation
J051707-441055,2374,2586,red,statistical,power,42,-0.03302333400824507,0.025496537798673342,2.4066779570922447,0.9936978878659067,0.02743137265478888,38.89162305149851,38,1.0234637645131188,-387.8285731157587,True,False,True,0.4625042173359972,True,conditional_curvature_only,7.958078640513122e-13,True,8.273559615190607e-10,DESCRIPTIVE_REGISTRATION_ONLY; not a physical frequency shift; independent-pixel approximation
J051707-441055,2374,2586,red,statistical,affine,42,0.141003791764259,,1.6767367358627714,0.9000000000000754,0.0828679158129859,333.78451684979007,38,8.783803074994475,-89.1141720174179,True,True,True,0.2884770915635002,True,WITHHELD_BOUNDARY_KNOT_OR_HESSIAN,1.4921397450962104e-12,True,9.881517826215713e-10,DESCRIPTIVE_REGISTRATION_ONLY; not a physical frequency shift; independent-pixel approximation
J051707-441055,2374,2586,red,fluctuation,power,42,-0.03429334149160073,0.027388753017717385,2.406503547896404,0.9936789928749112,0.0273709686263434,33.453990372093344,38,0.8803681676866669,-386.8897708818957,True,False,True,0.46377422481935326,True,conditional_curvature_only,8.526512829121202e-13,True,3.7124436857993715e-10,DESCRIPTIVE_REGISTRATION_ONLY; not a physical frequency shift; independent-pixel approximation
J051707-441055,2374,2586,red,fluctuation,affine,42,0.13887027803585808,,1.676689728112142,0.9000000000005856,0.0828053269198887,286.02776678772176,38,7.527046494413731,-130.50229471701616,True,True,True,0.29061060529189575,True,WITHHELD_BOUNDARY_KNOT_OR_HESSIAN,2.3305801732931286e-12,True,1.3430110357148806e-09,DESCRIPTIVE_REGISTRATION_ONLY; not a physical frequency shift; independent-pixel approximation
J051707-441055,2374,2600,whole,statistical,power,104,-0.18058383070576628,,6.418569953978114,0.9164343113287688,0.008921855683179434,3736.9296247492584,100,37.369296247492585,2716.790572563278,True,False,True,6.306066779870889e-11,False,WITHHELD_BOUNDARY_KNOT_OR_HESSIAN,3.0762748792767525e-08,True,6.6543179855216295e-09,DESCRIPTIVE_REGISTRATION_ONLY; not a physical frequency shift; independent-pixel approximation
J051707-441055,2374,2600,whole,statistical,affine,104,-0.18056582115228836,,2.3818899708034484,0.9000000000066298,-0.07425683088427588,42220.38577803898,100,422.2038577803898,41265.30297284425,True,True,True,3.277378368693462e-11,False,WITHHELD_BOUNDARY_KNOT_OR_HESSIAN,5.529138434212655e-06,True,1.7890124581754208e-07,DESCRIPTIVE_REGISTRATION_ONLY; not a physical frequency shift; independent-pixel approximation
