target,transition,z_abs_reference,N_grid_pixels_pm25kms,median_continuum_SNR_assumed,Fisher_centroid_sigma_mps_diagonal,Fisher_centroid_sigma_mps_adjacent_rho03,MC_run,n_MC,MC_mean_bias_over_Fisher_sigma,MC_std_over_Fisher_sigma,MC_coverage95_fixed_Fisher,MC_failed_or_bound_fits,status
J051707-441055,FeII_1608.4509,1.1508,38,127.88919652441618,72.37277183460948,89.68541871590453,True,300,0.0458278027996166,1.0782944422965228,0.9333333333333333,0,SYNTHETIC_NOISE_BENCHMARK
J051707-441055,FeII_2344.2128,1.1508,39,229.67428455449547,40.25092964254787,49.88482320680258,True,300,-0.05044529945622468,1.0149111377088633,0.9566666666666667,0,SYNTHETIC_NOISE_BENCHMARK
J051707-441055,FeII_2374.4601,1.1508,38,229.42170319428212,40.344036035936846,49.9948557164266,True,300,0.0753517306149989,0.9804666879714958,0.9566666666666667,0,SYNTHETIC_NOISE_BENCHMARK
J051707-441055,FeII_2382.7642,1.1508,38,238.93032355558367,38.738739011610754,48.00550643344135,True,300,0.04882044034004791,0.9497057203303648,0.9566666666666667,0,SYNTHETIC_NOISE_BENCHMARK
J051707-441055,FeII_2586.6493,1.1508,38,248.37849191960228,37.2644649153231,46.178683714084606,True,300,-0.06140144358394283,1.036227936813502,0.94,0,SYNTHETIC_NOISE_BENCHMARK
J051707-441055,FeII_2600.1725,1.1508,39,236.21771852480313,39.135611161372104,48.50261360102556,True,300,-0.10314988717819167,1.0150678937182154,0.9433333333333334,0,SYNTHETIC_NOISE_BENCHMARK
J034943-381030,FeII_1608.4509,3.025,38,86.10365453166912,107.49680107061319,133.21129945160416,True,300,0.02386117433819089,1.0357021697829156,0.9333333333333333,0,SYNTHETIC_NOISE_BENCHMARK
J034943-381030,FeII_2344.2128,3.025,38,42.55685459683106,217.49113964331934,269.5180923920381,True,300,0.037344285793252725,1.0552037066264668,0.9333333333333333,0,SYNTHETIC_NOISE_BENCHMARK
J034943-381030,FeII_2374.4601,3.025,39,24.891994667635725,371.3873182113559,460.27755438249045,True,300,0.046549137155348544,1.020562973682208,0.96,0,SYNTHETIC_NOISE_BENCHMARK
J034943-381030,FeII_2382.7642,3.025,39,21.421598946431317,431.55558387443335,534.8465722652165,True,300,-0.015354003209665562,1.0211448607226348,0.9533333333333334,0,SYNTHETIC_NOISE_BENCHMARK
J034943-381030,FeII_2586.6493,3.025,38,1.3118214999881852,7055.713943472153,8743.527580373799,False,0,,,,,LOW_SNR_LOCAL_FISHER_NOT_RELIABLE
J034943-381030,FeII_2600.1725,3.025,39,2.063353468057166,4480.4007123405845,5552.762292315486,False,0,,,,,LOW_SNR_LOCAL_FISHER_NOT_RELIABLE
